,topic_01,topic_02,topic_03,scenario_r2,evidence_r2
381,165,034,171,0.01578227259341136,0.04187146566153055
382,033,097,037,0.020616281923498847,0.009056517980825296
383,177,070,013,0.006059914508680264,0.007802621816529243
384,068,181,065,0.009170054195828836,0.005203009584389684
385,094,118,075,0.00038732169199395816,0.048581201328837254
386,088,043,129,0.0051745655764317,0.05215251909416252
387,152,040,183,0.0033575316880934958,0.004109744678734817
388,035,122,061,0.0005854227861341599,0.0063056240428848165
389,091,050,189,0.015652831752385188,0.083153925150807
390,097,157,195,0.04456097375113699,0.17096261798048773
391,127,094,091,0.0007130041599878734,0.05140224203351251
392,157,054,168,0.04941881712198415,0.1728067089073717
393,058,059,098,0.003142973009516048,0.012100445118518932
394,195,024,120,0.022984916531046062,0.05518144547228865
395,087,131,114,0.0031754925815397073,0.005774912507874763
396,059,149,148,0.004005932080741292,0.010981765627298135
397,117,130,074,0.006364885583297841,0.013402793407043867
398,109,012,164,0.007728125083371062,0.02030529355372157
399,131,058,025,0.0029462551156096417,0.004564653439093513
400,129,159,050,0.00876071748724594,0.003791290763536126
401,113,090,196,0.001490926143981608,0.002298239179874928
402,083,167,099,0.00456512686683308,0.014761282175408175
403,175,173,155,0.03169515331093398,0.0870146206694482
404,160,118,121,0.00020592688922893565,0.04287105334155439
405,158,116,115,0.007342462411323969,0.03368120604726699
406,170,052,090,0.0027744139737050366,0.047946482496602494
407,113,026,105,0.0017244748681352062,0.0012169870731002508
408,036,072,064,0.0012240789361696036,0.0642456464658192
409,001,022,078,0.021780218861383704,0.07825062701587948
410,071,151,171,0.008478194082840673,0.024292793902302212
411,063,087,146,0.002031300574469541,0.010054722853363951
412,055,018,163,0.007024312060069593,0.04756355240281607
413,016,116,059,0.003974195999771224,0.03249992522563672
414,173,115,031,0.04727864230231793,0.08273387103805174
415,070,166,157,0.014392061402290768,0.011576886438074196
416,113,170,168,0.0035381128350718827,0.0175739455104309
417,056,034,155,0.017160081683479156,0.04214788670180447
418,136,007,069,0.012170333334644456,0.03562097455218072
419,169,101,108,0.017209115307400102,0.10227951339749708
420,032,006,189,0.0013032368743800538,0.00039464819880297153
421,199,123,072,0.025707107901972615,0.017726360938853603
422,085,070,022,0.007791813277632675,0.012730340537206453
423,153,182,121,0.0005176852050335912,0.009416837229458852
424,039,140,074,0.0005613008555021004,0.0014774835863552438
425,096,062,090,0.017120559312091554,0.01652351683702502
426,043,000,085,0.0015799198192314456,0.031026593106573297
427,144,184,045,0.0026528300070255417,0.014305976913132512
428,148,066,069,0.0065235879624876425,0.0023347716055578394
429,061,147,019,0.002142106864025828,0.003246482911804738
430,161,189,076,0.0069570848347695335,0.012716184097600114
431,184,160,104,0.00014365601963939323,0.0009412008583727927
432,056,024,021,0.013778459905466334,0.058301717360723315
433,062,054,013,0.017532165155319523,0.01295862288023586
434,035,017,065,0.010768135578352545,0.038295395128467025
435,076,084,177,0.004672551615809817,0.005239369607488831
436,149,133,189,0.007199923197240055,0.005339318516153213
437,026,120,114,0.012808320272901241,0.14269536329317944
438,158,036,049,0.0046941419067302315,0.005279222910740233
439,198,168,123,0.005588088548692305,0.0100875654067345
440,098,199,099,0.01235772695106263,0.017739396411663444
441,120,152,146,0.013178084485091945,0.14231051221051993
442,163,198,062,0.011974783567499925,0.02301817450487509
443,123,087,147,0.023791492661417224,0.019628052541564522
444,046,012,105,0.005822065527829934,0.011468994968830692
445,187,074,155,0.008914120781073565,0.0737979322238177
446,120,172,140,0.014112794781773963,0.14564591693020734
447,108,141,194,0.010604854266407004,0.06341002590261069
448,077,044,043,0.01724949123999331,0.026838187960662174
449,184,015,116,0.00010759535974047552,0.0015253105175792037
450,023,104,094,0.007481965801491075,0.06535609765561035
451,070,023,169,0.007266655052136639,0.06865321606411501
452,163,116,142,0.012856479099648044,0.04680717074362484
453,147,013,191,0.000822610281587921,0.002962314089513862
454,008,152,109,0.0051091731659481665,0.013300237104570178
455,062,019,118,0.014636905105275155,0.021598334924863183
456,119,065,182,0.0062362657548553635,0.07795610070252035
457,037,039,199,0.0020899636869723404,0.006470922531201961
458,053,094,024,0.00861304902695248,0.06854323927556294
459,134,149,058,0.009193786276350147,0.07291272564337181
460,195,051,143,0.023562754955559928,0.015906918527726854
461,130,161,131,0.0027143776826731303,0.012970268770305604
462,173,021,133,0.04194786487831892,0.08227274110064675
463,070,109,171,0.008082891983013374,0.022691865209665263
464,168,187,022,0.005577172003141895,0.07954571376177044
465,029,089,169,0.012323830043790784,0.04944293246323317
466,191,022,173,0.015165207652343637,0.08051253817951654
467,029,173,031,0.04550173794739654,0.08877051493036914
468,102,152,160,0.0057928228474607435,0.02131399967821912
469,090,057,158,0.0022250355294262114,0.004254417085876372
470,075,190,065,0.007903353701561366,0.000572567007122271
471,011,109,082,0.00592659295022635,0.037751506105261234
472,013,047,063,0.0012951189602654622,0.031939424580516906
473,165,098,075,0.011938979811140005,0.01599798241292849
474,065,066,137,0.006472055706114088,0.05203581997249329
475,007,121,036,0.0018931852176194974,0.014647376671881318
