,num_topics,scenario_r2,2,3,4,5,6,7,8
309,7,0.025880041190618375,038,046,166,051,014,181,192
310,7,0.0517902852256209,070,158,036,192,129,157,106
311,7,0.024188405762148535,189,036,022,153,098,026,063
312,7,0.04803997539456928,014,147,187,022,099,101,115
313,7,0.0465348958206967,184,033,120,005,013,016,087
314,7,0.02850016382566023,174,062,044,175,084,198,105
315,7,0.04923816431467121,181,081,142,107,157,018,090
316,7,0.028050250370742713,005,070,027,127,105,134,046
317,7,0.02085955199650613,052,011,147,182,012,150,108
318,7,0.026260745339714897,061,159,057,091,116,194,130
319,7,0.020093137292554464,027,081,177,099,066,068,021
320,7,0.03493249323671621,017,198,063,022,158,147,025
321,7,0.030845993421048545,188,141,176,119,078,074,158
322,7,0.05033306160731099,155,131,161,060,140,136,116
323,7,0.011576763658695755,094,057,082,003,007,072,121
324,7,0.049654502987353966,094,150,047,027,035,013,173
325,7,0.022107562475401132,044,090,048,127,012,192,085
326,7,0.030806224137727933,015,058,143,105,050,088,073
327,7,0.05807681853339475,015,173,049,104,137,001,051
328,7,0.024779452284997228,194,131,103,127,033,014,067
329,7,0.023888761644265344,087,004,114,116,014,096,073
330,7,0.02699558878891406,107,141,160,034,070,184,113
331,7,0.010705740559126209,041,066,160,013,107,103,194
332,7,0.033859004926507175,122,189,059,091,099,143,080
333,7,0.017809481718495168,042,004,134,161,122,060,170
334,7,0.04149175179408382,077,012,122,123,181,050,172
335,7,0.025428721988276393,064,191,174,022,092,131,087
336,7,0.01233487960236157,149,191,189,046,026,156,184
337,7,0.009646590503202934,118,008,056,149,014,016,013
338,7,0.028557027287763437,094,059,127,082,004,033,102
339,7,0.02242947759927616,027,127,001,036,161,063,024
340,7,0.031587652510241426,166,191,006,079,167,085,151
341,7,0.023998913437795588,146,193,006,172,026,177,118
342,7,0.020036124396422994,181,016,168,148,026,071,091
343,7,0.015368617725080136,156,004,060,188,169,079,047
344,7,0.04596076641075675,051,024,194,115,199,022,064
345,7,0.019035237624921986,138,172,032,088,189,110,131
346,7,0.015455297831138859,071,047,000,042,097,067,137
347,7,0.02091556222476676,068,104,085,083,078,082,147
348,7,0.04911522236246235,188,153,171,136,155,075,113
349,7,0.01356031345548736,080,182,063,137,168,011,143
350,7,0.02280013662367253,041,024,148,167,130,143,198
351,7,0.0719893881826622,187,155,168,077,165,117,015
352,7,0.06564054970468036,157,133,080,059,051,001,105
353,7,0.0049933123512470035,140,190,152,094,049,006,061
354,7,0.03056442954370875,189,199,075,007,122,050,115
355,7,0.027801040647624786,063,098,004,189,138,079,110
356,7,0.03118612661652742,136,101,049,132,037,018,065
357,7,0.03777329896797954,090,044,039,177,055,091,003
358,7,0.02349585214818617,025,059,016,032,140,110,188
359,7,0.054788692142535456,000,054,042,122,137,157,031
360,7,0.01929430048272318,008,057,012,132,121,052,110
361,7,0.03761697854744428,058,158,022,195,073,161,148
362,7,0.02063855368477907,118,061,194,189,071,062,045
363,7,0.016811931030388028,127,069,077,038,116,053,194
364,7,0.03386823018992802,001,055,075,151,072,144,070
365,7,0.02732458353504863,071,079,051,136,052,035,087
366,7,0.03290586604950485,061,192,083,167,104,120,097
367,7,0.01059995171544803,198,005,192,142,026,016,171
368,7,0.012945159044552068,032,160,124,043,013,052,088
369,7,0.03968125221366403,035,183,044,091,101,122,006
370,7,0.018587933911049292,102,103,081,152,096,021,142
371,7,0.022704268111916615,036,084,058,019,054,134,015
372,7,0.04408112029905775,069,014,184,195,097,025,079
373,7,0.0188153514326852,013,163,068,023,149,114,037
374,7,0.0631884462750486,149,194,031,123,173,072,110
375,7,0.03400777016056,165,131,158,166,097,120,048
376,7,0.016322691130690736,107,176,094,130,076,050,132
377,7,0.04990473139435225,113,119,147,137,037,155,150
378,7,0.013990338969113503,015,102,199,177,143,156,167
