,num_topics,evidence_r2,2,3
493,2,0.0006582113376433218,016,105
494,2,0.07038157601745454,053,195
495,2,0.023255272696399154,105,150
496,2,0.015619659984046241,105,092
497,2,0.009624486709990387,106,185
498,2,0.021547733448105566,068,102
499,2,0.1021019115393833,144,101
500,2,0.01692096284330169,193,046
501,2,0.026384312502249152,189,150
502,2,0.09109829082699039,070,091
503,2,0.01036383242317196,156,085
504,2,0.01844952468041361,107,085
505,2,0.11814060786679181,101,017
506,2,0.0746613701529788,164,062
507,2,0.12262087200965976,187,024
508,2,0.0051464999422088376,106,078
509,2,0.0048455696558081796,106,050
510,2,0.05797469181610082,127,052
511,2,0.01198757537056827,196,107
512,2,0.0013488625526598685,113,165
513,2,0.019357972393847067,077,169
514,2,0.06231512781696402,088,089
515,2,0.07324867262820056,056,187
516,2,0.040154404520158615,052,069
517,2,0.07978062421058785,141,065
518,2,0.01771235096829238,169,137
519,2,0.024987874100299123,025,192
520,2,0.005482605598416068,049,064
521,2,0.0021012823711015205,160,014
522,2,0.012904753303149219,018,133
523,2,0.0065814865501403474,060,016
524,2,0.010160240275733368,057,130
525,2,0.031407868807638906,087,114
526,2,0.06624247995753596,023,061
527,2,0.0431729263275662,189,141
528,2,0.007323103798538955,152,029
529,2,0.009263433643577623,074,115
530,2,0.06599067445820705,072,166
531,2,0.010702510506012786,121,166
532,2,0.00012599474957109003,125,104
533,2,0.008476817499313727,133,185
534,2,0.01706295282228021,132,193
535,2,0.006428195144174476,037,021
536,2,0.004791824056833316,005,181
537,2,0.022026777931342223,102,158
538,2,0.008054486830649688,182,087
539,2,0.10277385417310714,101,110
540,2,0.01581112687266828,124,161
541,2,0.07334907885916553,003,013
542,2,0.06347112158986545,191,072
543,2,0.0055732477981284,117,153
544,2,0.01831118784240149,170,036
545,2,0.0008411203076647,056,078
546,2,0.0012240588371317251,015,038
547,2,0.06550589515921723,053,167
548,2,0.005285055400216621,113,106
549,2,0.03255856776475652,026,116
550,2,0.027025096231141355,056,150
551,2,0.008759847115608288,012,073
552,2,0.08072497141293933,022,117
553,2,0.03678974756582021,116,035
