,topic_01,topic_02,topic_03,evidence_r2
313,131,114,029,0.02137027496347932
314,001,136,051,0.019951211345202613
315,043,055,147,0.027769490836214827
316,038,013,116,0.04694896936435977
317,018,113,032,0.007404835461453874
318,194,109,196,0.01550605140474981
319,108,021,059,0.02277915827568433
320,196,072,193,0.07706799193150182
321,164,027,172,0.014635681638001663
322,118,085,059,0.015662062857085268
323,012,088,172,0.03421705804129016
324,105,170,199,0.025959187031713626
325,062,183,090,0.015098662499530291
326,101,176,056,0.05156542259844765
327,090,021,026,0.02025821740256628
328,176,152,053,0.033125020648837156
329,073,027,016,0.008273680226690727
330,105,053,195,0.028730891508408796
331,105,150,108,0.022835242678512335
332,021,105,092,0.022208932001371418
333,106,185,068,0.006368002495020675
334,102,144,101,0.03334723586485133
335,193,046,189,0.029722492284593116
336,150,070,091,0.03655684505455803
337,156,085,107,0.009345942076899316
338,085,101,017,0.04108140801742288
339,164,062,187,0.02165443233870168
340,024,106,078,0.03216262277646398
341,106,050,127,0.013981509303322093
342,052,196,107,0.008827771402119877
343,113,165,077,0.008203731059796548
344,169,088,089,0.028080103601508255
345,056,187,052,0.02717102810507943
346,069,141,065,0.03785359988420267
347,169,137,025,0.011613080195901015
348,192,049,064,0.0057251163433816865
349,160,014,018,0.005562462092241316
350,133,060,016,0.00078135823405312
351,057,130,087,0.020473633835266236
352,114,023,061,0.04548615149673829
353,189,141,152,0.017316520769976695
354,029,074,115,0.021583613777685917
355,072,166,121,0.07564550151380933
356,166,125,104,0.001709443810009148
357,133,185,132,0.006754292814399543
358,193,037,021,0.04618221013002766
359,005,181,082,0.011462505256566446
360,015,102,158,0.019354978003676138
361,182,087,101,0.044008699531198237
362,110,124,161,0.02189573301069847
363,003,013,191,0.05645750095889046
364,072,117,153,0.07003666992088464
365,170,036,056,0.03224899178497542
366,078,015,038,0.028452277113477864
367,053,167,113,0.04037213702833364
368,106,026,116,0.01764997612735797
369,056,150,012,0.027549241880828634
370,073,022,117,0.019824800536821785
371,116,035,040,0.025169085345538078
372,187,070,039,0.010013401862550286
373,018,038,062,0.029326707564260368
374,192,016,137,0.0077324357849086756
375,038,078,066,0.02943753462582721
376,190,029,068,0.01764807719895667
377,103,105,000,0.013682673336122497
378,018,081,124,0.006063490861774046
379,195,092,194,0.01541580198310244
380,021,078,067,0.026879541850042155
381,165,034,171,0.024659951083083498
382,033,097,037,0.01624282786385911
383,177,070,013,0.035583164703817505
384,068,181,065,0.03042947276234831
385,094,118,075,0.028284112952874585
386,088,043,129,0.03881578406987718
387,152,040,183,0.009292004770642515
388,035,122,061,0.013762797474247246
389,091,050,189,0.02410218091547711
390,097,157,195,0.028001851806053524
391,127,094,091,0.04598696963144122
392,157,054,168,0.02464473995291938
393,058,059,098,0.029336355291150307
