,topic_01,topic_02,topic_03,scenario_r2
507,198,199,071,0.0027556240211873417
508,132,068,118,0.004303450530916297
509,011,099,132,0.0026503853126874644
510,004,008,094,0.026160192069199062
511,187,190,076,0.012899946400978801
512,147,080,066,0.045406271507154594
513,105,062,052,0.020238817405564213
514,117,185,177,0.020212268887293328
515,032,003,172,0.013566592899940222
516,042,123,133,0.04967086625561079
517,043,142,168,0.014561446339983464
518,148,165,043,0.014267458466716954
519,032,117,192,0.001961462785617818
520,177,001,003,0.042578266984232505
521,132,041,063,0.02455143637594326
522,199,096,052,0.0036503085432896265
523,077,033,116,0.011012932493679295
524,018,013,071,0.010788194679553165
525,148,191,190,0.018078346578089488
526,158,133,147,0.02803159472974237
527,038,059,132,0.008893771702030873
528,014,011,090,0.0015602734849125
529,127,199,023,0.038128011870903755
530,075,123,072,0.047998185389077075
531,025,044,029,0.03140901737652668
532,106,118,171,0.006706406294033074
533,071,054,110,0.03076336337013308
534,067,122,068,0.0054972603495727634
535,032,065,084,0.0034400883672836002
536,105,155,156,0.04722639560996644
537,085,115,191,0.004569034693325702
538,029,164,187,0.021881413722536935
539,191,125,183,0.004986218844563295
540,173,017,141,0.013963310899894
541,015,149,108,0.026408692477716933
542,032,122,168,0.008274057481661323
543,187,050,189,0.021786901376319223
544,054,023,079,0.031808300231930486
545,074,199,182,0.0007809170342578664
546,007,114,136,0.012538326789497956
547,019,089,017,0.0061309938202948056
548,196,067,198,0.002810369308697158
549,063,129,124,0.03199211783323175
550,047,125,133,0.009604815270977451
551,195,185,039,0.022472090676830536
552,064,185,022,0.006360218051115196
553,171,038,062,0.01632475395307864
554,087,062,184,0.023867533841077204
555,083,120,196,0.00028328357689588746
556,074,156,016,0.017935875071067753
557,113,134,160,0.011914012499056326
558,099,047,050,0.017921796931373746
559,018,153,014,0.004852658024614098
560,174,035,012,0.027891697094183376
561,167,037,143,0.02007707935002978
562,195,031,121,0.009333427260711291
563,092,087,033,0.01894115938883112
564,036,044,102,0.010313723581361844
565,078,049,194,0.010475249957271338
566,050,065,178,0.019909035371054595
567,149,133,013,0.0205106800218654
568,141,115,073,0.0004688054424109023
569,070,026,185,0.017904817975695653
570,069,142,097,0.0042474273254407
571,158,116,068,0.008926566328718022
572,017,080,164,0.022616824065238128
573,031,098,108,0.010413566252974293
574,088,057,097,0.025968792971263865
575,013,091,023,0.01594268882723482
576,099,056,047,0.009099244819052443
577,163,146,160,0.005772221631199614
578,057,077,109,0.013122479794814956
579,117,031,045,0.003568437735076313
580,146,098,025,0.013182311186624496
581,056,099,173,0.0175319596482455
582,039,114,183,0.01077979936066209
583,058,013,188,0.006689045971326357
584,181,142,072,0.015420492088746962
