,num_topics,scenario_r2,2,3,4,5
374,4,0.014174701110507337,196,184,094,099
375,4,0.015195465035738098,056,138,075,067
376,4,0.011941295469615643,016,184,152,125
377,4,0.013752962487004416,021,115,183,092
378,4,0.028738056643808574,153,150,029,169
379,4,0.03781331466753812,000,195,057,046
380,4,0.029436957288205168,046,025,151,057
381,4,0.028673580075681326,199,026,004,048
382,4,0.010459584338052053,022,067,056,040
383,4,0.04815290563867314,136,054,055,189
384,4,0.020268063332505637,023,133,092,053
385,4,0.0030414939622109838,047,104,165,051
386,4,-1.7362789893615727e-05,079,074,193,070
387,4,0.02851995938685259,054,065,008,171
388,4,0.042803466779291255,143,097,013,016
389,4,0.024134655079720235,176,076,080,067
390,4,0.027615942285566963,164,075,121,080
391,4,0.01828661366843265,190,078,192,159
392,4,0.02240774856722061,177,019,098,036
393,4,0.051402401060878344,110,160,034,123
394,4,0.004047898272225292,000,118,104,078
395,4,0.021920067673520727,004,073,072,137
396,4,0.010340944540009,012,194,090,018
397,4,0.014592192667886028,024,083,140,156
398,4,0.016713243602521466,114,193,060,189
399,4,0.02084697430621396,094,165,039,011
400,4,0.004717033280710714,114,159,158,048
401,4,0.01424112222268581,034,151,091,195
402,4,0.01767379427790905,120,106,098,018
403,4,0.03665289145356265,090,113,098,149
404,4,0.007832934123001456,103,072,168,117
405,4,0.028151765730560996,104,024,019,005
406,4,0.05310226334752821,187,046,054,115
407,4,0.004955150504620365,164,041,167,012
408,4,0.01675882885231017,160,115,076,092
409,4,0.006829838702978819,066,064,166,160
410,4,0.038980371683738246,105,007,138,127
411,4,0.0013897063851516789,192,161,172,035
412,4,0.002698183237065832,096,014,122,151
413,4,0.034381496649906196,015,147,016,107
414,4,0.006966422347930323,068,159,052,138
415,4,0.025146330514034476,034,181,195,042
416,4,0.054714429177652124,092,027,123,052
417,4,0.01894780702107013,137,173,185,165
418,4,0.012028947511420807,137,196,142,007
419,4,0.028570923144410232,057,026,192,074
420,4,0.002528153652185061,120,048,122,151
421,4,0.016199348780675082,007,042,003,022
422,4,0.019379725176672524,153,114,106,113
423,4,0.021935393915136436,037,101,117,199
424,4,0.03818269643701355,134,080,039,168
425,4,0.0037473507809897555,157,072,103,032
426,4,0.01849917698693815,114,143,069,056
427,4,0.04312248878872016,144,054,199,174
428,4,0.0038707944148870244,097,071,019,099
