,num_topics,scenario_r2,2,3,4,5,6,7
339,6,0.026485078114439786,166,029,065,048,008,060
340,6,0.0026575890810511815,027,065,125,049,171,152
341,6,0.020312635389889033,034,099,110,196,113,013
342,6,0.014057801778682766,125,163,013,198,042,084
343,6,0.04284481829997422,057,120,157,072,065,144
344,6,0.04280587562524085,115,098,066,062,194,099
345,6,0.03314434822391432,141,107,033,104,191,038
346,6,0.02078145378641527,091,138,132,053,061,120
347,6,0.015514228113631456,124,069,004,132,133,065
348,6,0.0353184309075798,158,134,143,057,141,045
349,6,0.02215697980957987,005,099,035,088,134,022
350,6,0.0163359628101577,191,004,158,190,046,054
351,6,0.01805491006296267,149,194,104,114,113,151
352,6,0.025084979931171203,012,097,034,013,149,000
353,6,0.009196785385100159,060,047,121,142,153,108
354,6,0.016606236513489026,188,049,124,055,185,016
355,6,0.023284926165886843,070,063,198,142,136,085
356,6,0.014074669705948728,107,072,143,167,158,063
357,6,0.021913687672305948,138,059,055,042,082,088
358,6,0.051076968282512736,157,134,117,088,061,133
359,6,0.03007522514973604,188,116,140,115,147,066
360,6,0.013387813544749494,196,118,184,152,166,087
361,6,0.03681442769031307,047,152,173,125,052,170
362,6,0.01792653461639293,087,080,059,151,062,183
363,6,0.047679712103729344,155,090,003,062,192,158
364,6,0.0262995582076494,164,109,018,140,015,062
365,6,0.028086343090869215,193,008,074,094,158,033
366,6,0.006931888524405849,007,184,063,005,144,152
367,6,0.025527994039083457,120,177,130,091,124,004
368,6,0.035463558535743456,067,131,181,076,091,165
369,6,0.03436893367098681,123,182,064,082,075,008
370,6,0.024668270751520005,032,031,007,046,127,033
371,6,0.011394905148225276,152,165,108,118,013,166
372,6,0.05001509385437364,182,096,155,193,025,149
373,6,0.009286795861045416,199,131,031,061,188,118
374,6,0.02928009444003865,059,120,039,117,121,092
375,6,0.04128690725303952,073,138,159,070,066,025
376,6,0.032602253205703424,188,079,099,025,045,049
377,6,0.00998037214597558,176,087,042,038,008,137
378,6,0.030841486591593026,074,067,065,066,080,024
379,6,0.013248230795016136,198,060,011,117,023,165
380,6,0.01058275486787641,081,165,021,172,188,109
381,6,0.03853773298945207,147,012,163,115,189,022
382,6,0.046125361331641024,190,052,102,155,099,185
383,6,0.01920414968155948,048,051,085,193,109,037
384,6,0.03702733535397429,044,194,105,149,120,045
385,6,0.01697200321913761,152,075,056,076,005,175
386,6,0.016960045548686686,193,196,056,168,151,054
387,6,0.027594608477126914,195,199,043,015,024,144
